"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"IncendioForestal.nlogox"
"experimento_01"
"03/09/2026 11:42:29:089 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","densidad","[step]","porcentaje_incendiado"
"4","0.1","4","10.242587601078167"
"5","0.1","4","10.18935978358882"
"3","0.1","3","10.242587601078167"
"2","0.1","3","10.071942446043165"
"6","0.1","3","9.918845807033364"
"8","0.1","4","10.18935978358882"
"7","0.1","5","11.141304347826086"
"9","0.1","3","10.081008100810081"
"10","0.1","3","10.588235294117647"
"11","0.2","4","6.164705882352941"
"13","0.2","3","5.518867924528302"
"12","0.2","3","5.7936881771078665"
"15","0.2","4","6.450094161958568"
"14","0.2","7","5.973659454374412"
"16","0.2","4","5.954631379962192"
"18","0.2","6","6.120527306967985"
"19","0.2","5","6.0263653483992465"
"17","0.2","6","6.291079812206572"
"20","0.2","4","6.484962406015038"
"21","0.3","10","5.365697860108591"
"24","0.3","4","4.50479233226837"
"23","0.3","4","4.418828049951969"
"22","0.3","10","4.928"
"27","0.3","5","4.503353561162568"
"26","0.3","9","4.766474728087012"
"28","0.3","9","5.078249760459917"
"1","0.1","2","9.425493716337522"
"25","0.3","12","6.22208040842374"
"29","0.3","5","4.6615581098339725"
"31","0.4","12","4.733156242453513"
"30","0.3","5","4.881940012763241"
"32","0.4","9","4.419222410045882"
"35","0.4","13","5.4642166344294"
"33","0.4","26","5.82547739908146"
"36","0.4","13","5.264428881912582"
"40","0.4","9","4.5674238762687285"
"39","0.4","14","6.138231029482842"
"38","0.4","9","4.857419043015949"
"42","0.5","12","4.652966265994571"
"37","0.4","9","4.895104895104895"
"45","0.5","17","5.904059040590406"
"43","0.5","25","6.5761396702230845"
"47","0.5","22","5.43267365153279"
"44","0.5","32","6.351981351981352"
"46","0.5","21","5.679395231634038"
"48","0.5","19","5.275407292474787"
"41","0.5","59","13.313896987366375"
"49","0.5","29","10.65398796817388"
"50","0.5","61","8.187475690392844"
"52","0.6","191","78.12398571892243"
"54","0.6","208","58.108984755108665"
"34","0.4","13","5.029013539651837"
"53","0.6","237","81.44965137019621"
"55","0.6","203","77.01168072680078"
"57","0.6","229","53.14174378957623"
"56","0.6","263","77.38481505515898"
"51","0.6","321","67.77543404186272"
"59","0.6","220","79.14299626683979"
"61","0.7","140","98.35310537334264"
"60","0.6","201","68.25860948667966"
"63","0.7","141","98.00530059980471"
"62","0.7","146","98.07450816241105"
"64","0.7","143","96.53969582810102"
"65","0.7","140","97.64131193300769"
"66","0.7","145","97.50069812901424"
"67","0.7","151","97.44983277591973"
"68","0.7","144","98.59095982142857"
"69","0.7","143","97.87946428571429"
"70","0.7","168","98.01869680479977"
"72","0.8","121","99.84109522063316"
"71","0.8","121","99.55957915341325"
"73","0.8","123","99.74311926605505"
"74","0.8","123","99.46269385761387"
"76","0.8","120","99.70635017741344"
"75","0.8","126","99.76761252446184"
"77","0.8","124","99.8167379352474"
"78","0.8","126","99.43779027132732"
"79","0.8","124","99.75553110866642"
"80","0.8","125","99.77981651376146"
"81","0.9","110","99.98911386893099"
"84","0.9","111","100"
"82","0.9","116","99.98911623857205"
"83","0.9","111","100"
"85","0.9","111","99.98911860718171"
"86","0.9","113","99.97823958219998"
"87","0.9","112","99.96734871571616"
"88","0.9","111","99.96735582154515"
"89","0.9","113","100"
"90","0.9","111","100"
"91","1","101","100"
"92","1","101","100"
"93","1","101","100"
"94","1","101","100"
"95","1","101","100"
"96","1","101","100"
"97","1","101","100"
"99","1","101","100"
"98","1","101","100"
"100","1","101","100"
"58","0.6","123","37.646103896103895"
